"","common_name"
"1","Snow Goose"
"2","Graylag Goose"
"3","Canada Goose"
"4","Mute Swan"
"5","Trumpeter Swan"
"6","Wood Duck"
"7","Blue-winged Teal"
"8","Northern Shoveler"
"9","Gadwall"
"10","American Wigeon"
"11","Mallard"
"12","American Black Duck"
"13","Northern Pintail"
"14","Green-winged Teal"
"15","Canvasback"
"16","Redhead"
"17","Ring-necked Duck"
"18","Greater Scaup"
"19","Lesser Scaup"
"20","Bufflehead"
"21","Common Goldeneye"
"22","Hooded Merganser"
"23","Common Merganser"
"24","Red-breasted Merganser"
"25","Ruddy Duck"
"26","Northern Bobwhite"
"27","Wild Turkey"
"28","Ring-necked Pheasant"
"29","Red-legged Partridge"
"30","Pied-billed Grebe"
"31","Horned Grebe"
"32","Rock Pigeon"
"33","Mourning Dove"
"34","Yellow-billed Cuckoo"
"35","Black-billed Cuckoo"
"36","Common Nighthawk"
"37","Eastern Whip-poor-will"
"38","Chimney Swift"
"39","Ruby-throated Hummingbird"
"40","King Rail"
"41","Virginia Rail"
"42","Sora"
"43","Common Gallinule"
"44","American Coot"
"45","Sandhill Crane"
"46","Black-necked Stilt"
"47","American Avocet"
"48","Black-bellied Plover"
"49","American Golden-Plover"
"50","Killdeer"
"51","Semipalmated Plover"
"52","Whimbrel"
"53","Marbled Godwit"
"54","Short-billed Dowitcher"
"55","Long-billed Dowitcher"
"56","American Woodcock"
"57","Wilson's Snipe"
"58","Wilson's Phalarope"
"59","Red-necked Phalarope"
"60","Spotted Sandpiper"
"61","Solitary Sandpiper"
"62","Lesser Yellowlegs"
"63","Willet"
"64","Greater Yellowlegs"
"65","Ruddy Turnstone"
"66","Curlew Sandpiper"
"67","Stilt Sandpiper"
"68","Sanderling"
"69","Dunlin"
"70","White-rumped Sandpiper"
"71","Least Sandpiper"
"72","Pectoral Sandpiper"
"73","Semipalmated Sandpiper"
"74","Bonaparte's Gull"
"75","Laughing Gull"
"76","Franklin's Gull"
"77","Ring-billed Gull"
"78","Herring Gull"
"79","Great Black-backed Gull"
"80","Lesser Black-backed Gull"
"81","Caspian Tern"
"82","Black Tern"
"83","Forster's Tern"
"84","Common Tern"
"85","Common Loon"
"86","Double-crested Cormorant"
"87","Neotropic Cormorant"
"88","American White Pelican"
"89","American Bittern"
"90","Least Bittern"
"91","Black-crowned Night Heron"
"92","Snowy Egret"
"93","Green Heron"
"94","Western Cattle Egret"
"95","Great Egret"
"96","Great Blue Heron"
"97","Glossy Ibis"
"98","Black Vulture"
"99","Turkey Vulture"
"100","Osprey"
"101","Northern Harrier"
"102","Sharp-shinned Hawk"
"103","Cooper's Hawk"
"104","Bald Eagle"
"105","Red-shouldered Hawk"
"106","Broad-winged Hawk"
"107","Swainson's Hawk"
"108","Red-tailed Hawk"
"109","Rough-legged Hawk"
"110","Barn Owl"
"111","Eastern Screech-Owl"
"112","Great Horned Owl"
"113","Barred Owl"
"114","Belted Kingfisher"
"115","Yellow-bellied Sapsucker"
"116","Red-headed Woodpecker"
"117","Red-bellied Woodpecker"
"118","Downy Woodpecker"
"119","Hairy Woodpecker"
"120","Pileated Woodpecker"
"121","Northern Flicker"
"122","American Kestrel"
"123","Merlin"
"124","Peregrine Falcon"
"125","Olive-sided Flycatcher"
"126","Eastern Wood-Pewee"
"127","Yellow-bellied Flycatcher"
"128","Acadian Flycatcher"
"129","Alder Flycatcher"
"130","Willow Flycatcher"
"131","Least Flycatcher"
"132","Eastern Phoebe"
"133","Great Crested Flycatcher"
"134","Eastern Kingbird"
"135","White-eyed Vireo"
"136","Bell's Vireo"
"137","Yellow-throated Vireo"
"138","Blue-headed Vireo"
"139","Philadelphia Vireo"
"140","Warbling Vireo"
"141","Red-eyed Vireo"
"142","Blue Jay"
"143","American Crow"
"144","Black-capped Chickadee"
"145","Tufted Titmouse"
"146","Horned Lark"
"147","Bank Swallow"
"148","Tree Swallow"
"149","Purple Martin"
"150","Northern Rough-winged Swallow"
"151","Barn Swallow"
"152","Cliff Swallow"
"153","Ruby-crowned Kinglet"
"154","Golden-crowned Kinglet"
"155","White-breasted Nuthatch"
"156","Red-breasted Nuthatch"
"157","Brown Creeper"
"158","Blue-gray Gnatcatcher"
"159","House Wren"
"160","Winter Wren"
"161","Sedge Wren"
"162","Marsh Wren"
"163","Carolina Wren"
"164","European Starling"
"165","Gray Catbird"
"166","Brown Thrasher"
"167","Northern Mockingbird"
"168","Eastern Bluebird"
"169","Veery"
"170","Gray-cheeked Thrush"
"171","Swainson's Thrush"
"172","Hermit Thrush"
"173","Wood Thrush"
"174","American Robin"
"175","Cedar Waxwing"
"176","House Sparrow"
"177","American Pipit"
"178","Evening Grosbeak"
"179","House Finch"
"180","Purple Finch"
"181","Pine Siskin"
"182","American Goldfinch"
"183","Lapland Longspur"
"184","Grasshopper Sparrow"
"185","Chipping Sparrow"
"186","Clay-colored Sparrow"
"187","Field Sparrow"
"188","Lark Sparrow"
"189","American Tree Sparrow"
"190","Fox Sparrow"
"191","Dark-eyed Junco"
"192","White-crowned Sparrow"
"193","White-throated Sparrow"
"194","Vesper Sparrow"
"195","Nelson's Sparrow"
"196","Savannah Sparrow"
"197","Henslow's Sparrow"
"198","Song Sparrow"
"199","Lincoln's Sparrow"
"200","Swamp Sparrow"
"201","Eastern Towhee"
"202","Yellow-breasted Chat"
"203","Yellow-headed Blackbird"
"204","Bobolink"
"205","Western Meadowlark"
"206","Eastern Meadowlark"
"207","Orchard Oriole"
"208","Baltimore Oriole"
"209","Red-winged Blackbird"
"210","Brown-headed Cowbird"
"211","Rusty Blackbird"
"212","Common Grackle"
"213","Ovenbird"
"214","Worm-eating Warbler"
"215","Louisiana Waterthrush"
"216","Northern Waterthrush"
"217","Golden-winged Warbler"
"218","Blue-winged Warbler"
"219","Black-and-white Warbler"
"220","Prothonotary Warbler"
"221","Tennessee Warbler"
"222","Orange-crowned Warbler"
"223","Nashville Warbler"
"224","Connecticut Warbler"
"225","Mourning Warbler"
"226","Kentucky Warbler"
"227","Common Yellowthroat"
"228","Hooded Warbler"
"229","American Redstart"
"230","Kirtland's Warbler"
"231","Cape May Warbler"
"232","Cerulean Warbler"
"233","Northern Parula"
"234","Magnolia Warbler"
"235","Bay-breasted Warbler"
"236","Blackburnian Warbler"
"237","Yellow Warbler"
"238","Chestnut-sided Warbler"
"239","Blackpoll Warbler"
"240","Black-throated Blue Warbler"
"241","Palm Warbler"
"242","Pine Warbler"
"243","Yellow-rumped Warbler"
"244","Yellow-throated Warbler"
"245","Prairie Warbler"
"246","Black-throated Green Warbler"
"247","Canada Warbler"
"248","Wilson's Warbler"
"249","Summer Tanager"
"250","Scarlet Tanager"
"251","Northern Cardinal"
"252","Rose-breasted Grosbeak"
"253","Blue Grosbeak"
"254","Indigo Bunting"
"255","Dickcissel"
